case_id,condition,nodes,edges,transcripts
352ab8bd,flat_transcript_vector,0,0,10
352ab8bd,waggle_production_context,13,211,0
352ab8bd,waggle_temporal_slot_context,6,0,3
352ab8bd,oracle_answer_turn_context,0,0,1
b320f3f8,flat_transcript_vector,0,0,10
b320f3f8,waggle_production_context,81,130,0
b320f3f8,waggle_temporal_slot_context,23,0,3
b320f3f8,oracle_answer_turn_context,0,0,1
5c40ec5b,flat_transcript_vector,0,0,10
5c40ec5b,waggle_production_context,85,184,0
5c40ec5b,waggle_temporal_slot_context,4,0,3
5c40ec5b,oracle_answer_turn_context,0,0,2
gpt4_7f6b06db,flat_transcript_vector,0,0,10
gpt4_7f6b06db,waggle_production_context,54,79,0
gpt4_7f6b06db,waggle_temporal_slot_context,2,0,2
gpt4_7f6b06db,oracle_answer_turn_context,0,0,3
4adc0475,flat_transcript_vector,0,0,9
4adc0475,waggle_production_context,59,33,0
4adc0475,waggle_temporal_slot_context,25,0,8
4adc0475,oracle_answer_turn_context,0,0,2
8cf51dda,flat_transcript_vector,0,0,9
8cf51dda,waggle_production_context,42,295,0
8cf51dda,waggle_temporal_slot_context,11,0,3
8cf51dda,oracle_answer_turn_context,0,0,1
21436231,flat_transcript_vector,0,0,10
21436231,waggle_production_context,37,25,0
21436231,waggle_temporal_slot_context,20,0,3
21436231,oracle_answer_turn_context,0,0,1
cf22b7bf,flat_transcript_vector,0,0,10
cf22b7bf,waggle_production_context,108,52,0
cf22b7bf,waggle_temporal_slot_context,3,0,3
cf22b7bf,oracle_answer_turn_context,0,0,2
gpt4_45189cb4,flat_transcript_vector,0,0,10
gpt4_45189cb4,waggle_production_context,59,15,0
gpt4_45189cb4,waggle_temporal_slot_context,7,0,3
gpt4_45189cb4,oracle_answer_turn_context,0,0,3
efc3f7c2,flat_transcript_vector,0,0,10
efc3f7c2,waggle_production_context,54,64,0
efc3f7c2,waggle_temporal_slot_context,17,0,3
efc3f7c2,oracle_answer_turn_context,0,0,2
0e5e2d1a,flat_transcript_vector,0,0,10
0e5e2d1a,waggle_production_context,14,88,0
0e5e2d1a,waggle_temporal_slot_context,5,0,3
0e5e2d1a,oracle_answer_turn_context,0,0,1
faba32e5,flat_transcript_vector,0,0,10
faba32e5,waggle_production_context,55,33,0
faba32e5,waggle_temporal_slot_context,11,0,2
faba32e5,oracle_answer_turn_context,0,0,1
0977f2af,flat_transcript_vector,0,0,10
0977f2af,waggle_production_context,44,23,0
0977f2af,waggle_temporal_slot_context,8,0,3
0977f2af,oracle_answer_turn_context,0,0,2
gpt4_65aabe59,flat_transcript_vector,0,0,7
gpt4_65aabe59,waggle_production_context,70,59,0
gpt4_65aabe59,waggle_temporal_slot_context,0,0,0
gpt4_65aabe59,oracle_answer_turn_context,0,0,3
e6041065,flat_transcript_vector,0,0,10
e6041065,waggle_production_context,59,51,0
e6041065,waggle_temporal_slot_context,1,0,1
e6041065,oracle_answer_turn_context,0,0,2
6222b6eb,flat_transcript_vector,0,0,10
6222b6eb,waggle_production_context,25,65,0
6222b6eb,waggle_temporal_slot_context,10,0,3
6222b6eb,oracle_answer_turn_context,0,0,1
bc8a6e93_abs,flat_transcript_vector,0,0,10
bc8a6e93_abs,waggle_production_context,30,2906,0
bc8a6e93_abs,waggle_temporal_slot_context,18,0,3
bc8a6e93_abs,oracle_answer_turn_context,0,0,3
0f05491a,flat_transcript_vector,0,0,10
0f05491a,waggle_production_context,39,27,0
0f05491a,waggle_temporal_slot_context,11,0,3
0f05491a,oracle_answer_turn_context,0,0,2
gpt4_8279ba03,flat_transcript_vector,0,0,10
gpt4_8279ba03,waggle_production_context,81,402,0
gpt4_8279ba03,waggle_temporal_slot_context,14,0,3
gpt4_8279ba03,oracle_answer_turn_context,0,0,1
27016adc,flat_transcript_vector,0,0,10
27016adc,waggle_production_context,111,92,0
27016adc,waggle_temporal_slot_context,11,0,1
27016adc,oracle_answer_turn_context,0,0,2
dc439ea3,flat_transcript_vector,0,0,10
dc439ea3,waggle_production_context,27,1,0
dc439ea3,waggle_temporal_slot_context,0,0,0
dc439ea3,oracle_answer_turn_context,0,0,1
66f24dbb,flat_transcript_vector,0,0,10
66f24dbb,waggle_production_context,18,284,0
66f24dbb,waggle_temporal_slot_context,9,0,3
66f24dbb,oracle_answer_turn_context,0,0,1
031748ae_abs,flat_transcript_vector,0,0,9
031748ae_abs,waggle_production_context,44,42,0
031748ae_abs,waggle_temporal_slot_context,7,0,3
031748ae_abs,oracle_answer_turn_context,0,0,6
982b5123_abs,flat_transcript_vector,0,0,10
982b5123_abs,waggle_production_context,38,17,0
982b5123_abs,waggle_temporal_slot_context,15,0,3
982b5123_abs,oracle_answer_turn_context,0,0,1
09ba9854_abs,flat_transcript_vector,0,0,4
09ba9854_abs,waggle_production_context,109,223,0
09ba9854_abs,waggle_temporal_slot_context,3,0,2
09ba9854_abs,oracle_answer_turn_context,0,0,4
