case_id,condition,final_context_tokens,context_items,tool_output_tokens
352ab8bd,flat_transcript_vector,996,10,0
352ab8bd,waggle_production_context,3881,1,15518
352ab8bd,waggle_temporal_slot_context,681,4,6381
352ab8bd,oracle_answer_turn_context,377,1,0
b320f3f8,flat_transcript_vector,1491,10,0
b320f3f8,waggle_production_context,3881,1,19148
b320f3f8,waggle_temporal_slot_context,296,4,7015
b320f3f8,oracle_answer_turn_context,295,1,0
5c40ec5b,flat_transcript_vector,1570,10,0
5c40ec5b,waggle_production_context,3883,1,16556
5c40ec5b,waggle_temporal_slot_context,265,4,6235
5c40ec5b,oracle_answer_turn_context,805,2,0
gpt4_7f6b06db,flat_transcript_vector,2583,10,0
gpt4_7f6b06db,waggle_production_context,3850,1,16387
gpt4_7f6b06db,waggle_temporal_slot_context,253,3,12267
gpt4_7f6b06db,oracle_answer_turn_context,1172,3,0
4adc0475,flat_transcript_vector,3887,9,0
4adc0475,waggle_production_context,3883,1,19015
4adc0475,waggle_temporal_slot_context,583,9,12593
4adc0475,oracle_answer_turn_context,965,2,0
8cf51dda,flat_transcript_vector,3886,9,0
8cf51dda,waggle_production_context,3881,1,18365
8cf51dda,waggle_temporal_slot_context,387,4,6400
8cf51dda,oracle_answer_turn_context,182,1,0
21436231,flat_transcript_vector,2813,10,0
21436231,waggle_production_context,2508,1,17181
21436231,waggle_temporal_slot_context,266,4,7013
21436231,oracle_answer_turn_context,501,1,0
cf22b7bf,flat_transcript_vector,3887,10,0
cf22b7bf,waggle_production_context,3878,1,21224
cf22b7bf,waggle_temporal_slot_context,357,4,6841
cf22b7bf,oracle_answer_turn_context,1146,2,0
gpt4_45189cb4,flat_transcript_vector,2981,10,0
gpt4_45189cb4,waggle_production_context,3883,1,13433
gpt4_45189cb4,waggle_temporal_slot_context,147,4,5902
gpt4_45189cb4,oracle_answer_turn_context,1385,3,0
efc3f7c2,flat_transcript_vector,793,10,0
efc3f7c2,waggle_production_context,2965,1,19868
efc3f7c2,waggle_temporal_slot_context,251,4,7315
efc3f7c2,oracle_answer_turn_context,708,2,0
0e5e2d1a,flat_transcript_vector,1265,10,0
0e5e2d1a,waggle_production_context,3883,1,15729
0e5e2d1a,waggle_temporal_slot_context,341,4,6613
0e5e2d1a,oracle_answer_turn_context,255,1,0
faba32e5,flat_transcript_vector,1668,10,0
faba32e5,waggle_production_context,3235,1,18755
faba32e5,waggle_temporal_slot_context,228,3,26610
faba32e5,oracle_answer_turn_context,596,1,0
0977f2af,flat_transcript_vector,1218,10,0
0977f2af,waggle_production_context,2475,1,15649
0977f2af,waggle_temporal_slot_context,230,4,6297
0977f2af,oracle_answer_turn_context,972,2,0
gpt4_65aabe59,flat_transcript_vector,3887,7,0
gpt4_65aabe59,waggle_production_context,3883,1,19653
gpt4_65aabe59,waggle_temporal_slot_context,48,1,13193
gpt4_65aabe59,oracle_answer_turn_context,1508,3,0
e6041065,flat_transcript_vector,2073,10,0
e6041065,waggle_production_context,3882,1,18022
e6041065,waggle_temporal_slot_context,146,3,13861
e6041065,oracle_answer_turn_context,920,2,0
6222b6eb,flat_transcript_vector,3327,10,0
6222b6eb,waggle_production_context,3883,1,14824
6222b6eb,waggle_temporal_slot_context,732,4,6115
6222b6eb,oracle_answer_turn_context,257,1,0
bc8a6e93_abs,flat_transcript_vector,2727,10,0
bc8a6e93_abs,waggle_production_context,3883,1,18765
bc8a6e93_abs,waggle_temporal_slot_context,206,4,6597
bc8a6e93_abs,oracle_answer_turn_context,1260,3,0
0f05491a,flat_transcript_vector,1796,10,0
0f05491a,waggle_production_context,2286,1,15614
0f05491a,waggle_temporal_slot_context,170,4,7068
0f05491a,oracle_answer_turn_context,852,2,0
gpt4_8279ba03,flat_transcript_vector,3132,10,0
gpt4_8279ba03,waggle_production_context,3883,1,28760
gpt4_8279ba03,waggle_temporal_slot_context,285,4,7283
gpt4_8279ba03,oracle_answer_turn_context,312,1,0
27016adc,flat_transcript_vector,2192,10,0
27016adc,waggle_production_context,3883,1,24791
27016adc,waggle_temporal_slot_context,118,3,24758
27016adc,oracle_answer_turn_context,748,2,0
dc439ea3,flat_transcript_vector,605,10,0
dc439ea3,waggle_production_context,2633,1,14497
dc439ea3,waggle_temporal_slot_context,67,1,12421
dc439ea3,oracle_answer_turn_context,441,1,0
66f24dbb,flat_transcript_vector,1588,10,0
66f24dbb,waggle_production_context,3883,1,22496
66f24dbb,waggle_temporal_slot_context,211,4,7391
66f24dbb,oracle_answer_turn_context,373,1,0
031748ae_abs,flat_transcript_vector,3887,9,0
031748ae_abs,waggle_production_context,3705,1,19308
031748ae_abs,waggle_temporal_slot_context,318,4,6767
031748ae_abs,oracle_answer_turn_context,2585,6,0
982b5123_abs,flat_transcript_vector,1550,10,0
982b5123_abs,waggle_production_context,2520,1,18763
982b5123_abs,waggle_temporal_slot_context,211,4,6902
982b5123_abs,oracle_answer_turn_context,318,1,0
09ba9854_abs,flat_transcript_vector,3885,4,0
09ba9854_abs,waggle_production_context,3882,1,17682
09ba9854_abs,waggle_temporal_slot_context,133,3,14353
09ba9854_abs,oracle_answer_turn_context,1515,4,0
