case_id,condition,context_budget,final_context_tokens,within_budget
352ab8bd,flat_transcript_vector,3900,996,True
352ab8bd,waggle_production_context,3900,3881,True
352ab8bd,waggle_temporal_slot_context,3900,681,True
352ab8bd,oracle_answer_turn_context,3900,377,True
b320f3f8,flat_transcript_vector,3900,1491,True
b320f3f8,waggle_production_context,3900,3881,True
b320f3f8,waggle_temporal_slot_context,3900,296,True
b320f3f8,oracle_answer_turn_context,3900,295,True
5c40ec5b,flat_transcript_vector,3900,1570,True
5c40ec5b,waggle_production_context,3900,3883,True
5c40ec5b,waggle_temporal_slot_context,3900,265,True
5c40ec5b,oracle_answer_turn_context,3900,805,True
gpt4_7f6b06db,flat_transcript_vector,3900,2583,True
gpt4_7f6b06db,waggle_production_context,3900,3850,True
gpt4_7f6b06db,waggle_temporal_slot_context,3900,253,True
gpt4_7f6b06db,oracle_answer_turn_context,3900,1172,True
4adc0475,flat_transcript_vector,3900,3887,True
4adc0475,waggle_production_context,3900,3883,True
4adc0475,waggle_temporal_slot_context,3900,583,True
4adc0475,oracle_answer_turn_context,3900,965,True
8cf51dda,flat_transcript_vector,3900,3886,True
8cf51dda,waggle_production_context,3900,3881,True
8cf51dda,waggle_temporal_slot_context,3900,387,True
8cf51dda,oracle_answer_turn_context,3900,182,True
21436231,flat_transcript_vector,3900,2813,True
21436231,waggle_production_context,3900,2508,True
21436231,waggle_temporal_slot_context,3900,266,True
21436231,oracle_answer_turn_context,3900,501,True
cf22b7bf,flat_transcript_vector,3900,3887,True
cf22b7bf,waggle_production_context,3900,3878,True
cf22b7bf,waggle_temporal_slot_context,3900,357,True
cf22b7bf,oracle_answer_turn_context,3900,1146,True
gpt4_45189cb4,flat_transcript_vector,3900,2981,True
gpt4_45189cb4,waggle_production_context,3900,3883,True
gpt4_45189cb4,waggle_temporal_slot_context,3900,147,True
gpt4_45189cb4,oracle_answer_turn_context,3900,1385,True
efc3f7c2,flat_transcript_vector,3900,793,True
efc3f7c2,waggle_production_context,3900,2965,True
efc3f7c2,waggle_temporal_slot_context,3900,251,True
efc3f7c2,oracle_answer_turn_context,3900,708,True
0e5e2d1a,flat_transcript_vector,3900,1265,True
0e5e2d1a,waggle_production_context,3900,3883,True
0e5e2d1a,waggle_temporal_slot_context,3900,341,True
0e5e2d1a,oracle_answer_turn_context,3900,255,True
faba32e5,flat_transcript_vector,3900,1668,True
faba32e5,waggle_production_context,3900,3235,True
faba32e5,waggle_temporal_slot_context,3900,228,True
faba32e5,oracle_answer_turn_context,3900,596,True
0977f2af,flat_transcript_vector,3900,1218,True
0977f2af,waggle_production_context,3900,2475,True
0977f2af,waggle_temporal_slot_context,3900,230,True
0977f2af,oracle_answer_turn_context,3900,972,True
gpt4_65aabe59,flat_transcript_vector,3900,3887,True
gpt4_65aabe59,waggle_production_context,3900,3883,True
gpt4_65aabe59,waggle_temporal_slot_context,3900,48,True
gpt4_65aabe59,oracle_answer_turn_context,3900,1508,True
e6041065,flat_transcript_vector,3900,2073,True
e6041065,waggle_production_context,3900,3882,True
e6041065,waggle_temporal_slot_context,3900,146,True
e6041065,oracle_answer_turn_context,3900,920,True
6222b6eb,flat_transcript_vector,3900,3327,True
6222b6eb,waggle_production_context,3900,3883,True
6222b6eb,waggle_temporal_slot_context,3900,732,True
6222b6eb,oracle_answer_turn_context,3900,257,True
bc8a6e93_abs,flat_transcript_vector,3900,2727,True
bc8a6e93_abs,waggle_production_context,3900,3883,True
bc8a6e93_abs,waggle_temporal_slot_context,3900,206,True
bc8a6e93_abs,oracle_answer_turn_context,3900,1260,True
0f05491a,flat_transcript_vector,3900,1796,True
0f05491a,waggle_production_context,3900,2286,True
0f05491a,waggle_temporal_slot_context,3900,170,True
0f05491a,oracle_answer_turn_context,3900,852,True
gpt4_8279ba03,flat_transcript_vector,3900,3132,True
gpt4_8279ba03,waggle_production_context,3900,3883,True
gpt4_8279ba03,waggle_temporal_slot_context,3900,285,True
gpt4_8279ba03,oracle_answer_turn_context,3900,312,True
27016adc,flat_transcript_vector,3900,2192,True
27016adc,waggle_production_context,3900,3883,True
27016adc,waggle_temporal_slot_context,3900,118,True
27016adc,oracle_answer_turn_context,3900,748,True
dc439ea3,flat_transcript_vector,3900,605,True
dc439ea3,waggle_production_context,3900,2633,True
dc439ea3,waggle_temporal_slot_context,3900,67,True
dc439ea3,oracle_answer_turn_context,3900,441,True
66f24dbb,flat_transcript_vector,3900,1588,True
66f24dbb,waggle_production_context,3900,3883,True
66f24dbb,waggle_temporal_slot_context,3900,211,True
66f24dbb,oracle_answer_turn_context,3900,373,True
031748ae_abs,flat_transcript_vector,3900,3887,True
031748ae_abs,waggle_production_context,3900,3705,True
031748ae_abs,waggle_temporal_slot_context,3900,318,True
031748ae_abs,oracle_answer_turn_context,3900,2585,True
982b5123_abs,flat_transcript_vector,3900,1550,True
982b5123_abs,waggle_production_context,3900,2520,True
982b5123_abs,waggle_temporal_slot_context,3900,211,True
982b5123_abs,oracle_answer_turn_context,3900,318,True
09ba9854_abs,flat_transcript_vector,3900,3885,True
09ba9854_abs,waggle_production_context,3900,3882,True
09ba9854_abs,waggle_temporal_slot_context,3900,133,True
09ba9854_abs,oracle_answer_turn_context,3900,1515,True
